Treatment,nct_id,ID,COVID-19 status,Patient setting,Outcome,Size
"Corticosteroids, Standard of care",NCT04355637,NCT04355637,NA,Hospital,"Mortality, ICU Admission, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, C-Reactive Protein, Ferritin, White Blood Cell Count, D-Dimer, LDH, Cardiac Outcome (Unspecified)",300
"Corticosteroids, Standard of care",NCT04355637,NCT04355637,NA,Hospital,"Mortality, ICU Admission, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, C-Reactive Protein, Ferritin, White Blood Cell Count, D-Dimer, LDH, Cardiac Outcome (Unspecified)",300
"Corticosteroids, Standard of care",NCT04355637,NCT04355637,NA,Hospital,"Mortality, ICU Admission, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, C-Reactive Protein, Ferritin, White Blood Cell Count, D-Dimer, LDH, Cardiac Outcome (Unspecified)",300
"DPP-4i, Standard of care",NCT04341935,NCT04341935,NA,"Outpatient, Unclear","IL-6, Glucose, SpO2",20
"Device, Standard of care",NCT04649775,NCT04649775,Confirmed,Hospital,"ICU Admission, Hospitalization, Hospital Discharge, Cough, Dyspnea, Hypoxia",50
"Colchicine, Standard of care",NCT04527562,NCT04527562,Confirmed,Unclear,"Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",299
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"Monoclonal antibody, Standard of care",NCT04625972,NCT04625972,Suspected,Outpatient,"Mortality, Antibodies",1125
"SSRIs, Standard of care",NCT04342663,NCT04342663,NA,Outpatient,"Mortality, ICU Admission, Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Treatment-emergent Adverse Events, Serious Adverse Events, Troponin",152
"SSRIs, Standard of care",NCT04342663,NCT04342663,NA,Outpatient,"Mortality, ICU Admission, Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Treatment-emergent Adverse Events, Serious Adverse Events, Troponin",152
"Other, Standard of care",NCT04473261,NCT04473261,Confirmed,Unclear,NA,200
"Hygiene, Standard of care",NCT04584684,NCT04584684,Confirmed,Unclear,NA,480
Antibiotics,NCT04398004,NCT04398004,Confirmed,Unclear,"Hospitalization, Viral Load or Clearance, Pneumonia or ARDS, IL-1, IL-6, IL-8, IL-10, Tumor Necrosis Factor (Any), Monocyte Count",90
"Anakinra, TCZ",NCT04339712,NCT04339712,Confirmed,Unclear,"Mortality, Organ Failure or Dysfunction (SOFA)",102
Plasma based therapy,NCT04354831,NCT04354831,NA,"Hospital, ICU","Mortality, ICU Admission",131
Plasma based therapy,NCT04432272,NCT04432272,Confirmed,Hospital,"Mortality, ICU Admission, IgG, IgM or IgA, Renal Outcome (Unspecified)",500
Monoclonal antibody,NCT04656691,NCT04656691,Confirmed,Outpatient,"Hospitalization, Adverse Events",7500
"Metformin + Opiate antagonists, Standard of care",NCT04604678,NCT04604678,Confirmed,Outpatient,"Mortality, Hospitalization",80
"Broad- spectrum sorbent hemoperfusion device, Standard of care",NCT04547257,NCT04547257,Confirmed,Unclear,"Mortality, ICU Admission, Viral Load or Clearance, Organ Failure or Dysfunction (SOFA)",42
"Respiratory support, Standard of care",NCT04696562,NCT04696562,Confirmed,Outpatient,"Dyspnea, SpO2, Respiratory Rate, Quality of Life, Anxiety",44
"Standard of care, Vaccine",NCT04691947,NCT04691947,Healthy,Healthy Unexposed,"Tumor Necrosis Factor (Any), Interferon (Any), IgG, IgM or IgA, Antibodies",44
"Acalabrutinib, IFN, Remdesivir, Standard of care",NCT04647669,NCT04647669,Confirmed,Hospital,"Mortality, ICU Admission, Hospitalization",100
"Other, Standard of care",NCT04356690,NCT04356690,NA,"Hospital, ICU","Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, White Blood Cell Count, D-Dimer, PaO2-FiO2",64
Radiation therapy,NCT04598581,NCT04598581,Confirmed,Hospital,"Mortality, C-Reactive Protein, Ferritin, White Blood Cell Count, PaO2-FiO2",22
Other,NCT04657406,NCT04657406,Confirmed,Outpatient,NA,
Positioning,NCT04359797,NCT04359797,NA,Hospital,"Mortality, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2",503
Positioning,NCT04359797,NCT04359797,NA,Hospital,"Mortality, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2",503
"Remdesivir, Standard of care, TCZ",NCT04690920,NCT04690920,Confirmed,Hospital,"Hospitalization, Viral Load or Clearance",200
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Remdesivir,NCT04292899,NCT04292899,Confirmed,Hospital,"Clinical Improvement Score (Any), Adverse Events",4891
Device,NCT04572399,NCT04572399,Confirmed,Hospital,"Hospital Discharge, Viral Load or Clearance, Pneumonia or ARDS, C-Reactive Protein",5
"Other, Standard of care",NCT04475107,NCT04475107,Confirmed,Unclear,"Clinical Improvement Score (Any), Viral Load or Clearance, Fever, SpO2, Respiratory Rate",76
"Other, Standard of care",NCT04475107,NCT04475107,Confirmed,Unclear,"Clinical Improvement Score (Any), Viral Load or Clearance, Fever, SpO2, Respiratory Rate",76
"Inhaled solution, Standard of care",NCT04686760,NCT04686760,Confirmed,Hospital,Hospitalization,30
"Non-invasive respiratory support, Standard of care",NCT04305457,NCT04305457,Confirmed,Hospital,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",70
"Non-invasive respiratory support, Standard of care",NCT04305457,NCT04305457,Confirmed,Hospital,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",70
"Non-invasive respiratory support, Standard of care",NCT04305457,NCT04305457,Confirmed,Hospital,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",70
Other,NCT04382066,NCT04382066,Confirmed,Hospital,"Mortality, ICU Admission, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Creatinine Phosphokinase, ALT, AST, Bilirubin, ECG",46
Other,NCT04382066,NCT04382066,Confirmed,Hospital,"Mortality, ICU Admission, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Creatinine Phosphokinase, ALT, AST, Bilirubin, ECG",46
Other,NCT04382066,NCT04382066,Confirmed,Hospital,"Mortality, ICU Admission, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Creatinine Phosphokinase, ALT, AST, Bilirubin, ECG",46
Other,NCT04382066,NCT04382066,Confirmed,Hospital,"Mortality, ICU Admission, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Creatinine Phosphokinase, ALT, AST, Bilirubin, ECG",46
"HCQ, LPV/r, Standard of care",NCT04328285,NCT04328285,Healthy,Healthcare Workers,"Mortality, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Treatment-emergent Adverse Events",1200
